Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
93,21,4,86,5,Some Random Commen with Id 93
94,21,4,138,6,Some Random Commen with Id 94
95,21,4,88,0,Some Random Commen with Id 95
96,21,4,187,3,Some Random Commen with Id 96
97,22,1,188,8,Some Random Commen with Id 97
98,22,1,27,0,Some Random Commen with Id 98
99,22,1,177,7,Some Random Commen with Id 99
100,23,8,14,6,Some Random Commen with Id 100
101,23,8,62,7,Some Random Commen with Id 101
102,23,8,182,6,Some Random Commen with Id 102
103,23,8,48,0,Some Random Commen with Id 103
104,23,8,119,3,Some Random Commen with Id 104
105,23,8,43,5,Some Random Commen with Id 105
106,23,8,69,6,Some Random Commen with Id 106
107,25,4,128,5,Some Random Commen with Id 107
108,25,4,175,5,Some Random Commen with Id 108
109,25,4,58,8,Some Random Commen with Id 109
110,25,4,4,9,Some Random Commen with Id 110
111,26,1,35,1,Some Random Commen with Id 111
112,26,1,82,5,Some Random Commen with Id 112
113,27,3,94,5,Some Random Commen with Id 113
114,27,3,184,3,Some Random Commen with Id 114
115,27,3,74,7,Some Random Commen with Id 115
116,27,3,96,1,Some Random Commen with Id 116
117,27,3,92,3,Some Random Commen with Id 117
118,28,1,116,1,Some Random Commen with Id 118
119,28,1,21,8,Some Random Commen with Id 119
120,28,1,66,4,Some Random Commen with Id 120
121,28,1,143,1,Some Random Commen with Id 121
122,28,1,0,6,Some Random Commen with Id 122
123,28,1,184,2,Some Random Commen with Id 123
124,29,8,146,6,Some Random Commen with Id 124
125,29,8,29,6,Some Random Commen with Id 125
126,29,8,102,6,Some Random Commen with Id 126
127,29,8,107,5,Some Random Commen with Id 127
128,29,8,40,4,Some Random Commen with Id 128
129,30,5,104,8,Some Random Commen with Id 129
130,30,5,131,1,Some Random Commen with Id 130
131,30,5,36,6,Some Random Commen with Id 131
132,30,5,172,7,Some Random Commen with Id 132
133,31,0,171,5,Some Random Commen with Id 133
134,31,0,0,4,Some Random Commen with Id 134
135,31,0,89,5,Some Random Commen with Id 135
136,31,0,4,5,Some Random Commen with Id 136
137,31,0,154,3,Some Random Commen with Id 137
138,31,0,186,1,Some Random Commen with Id 138
139,31,0,124,8,Some Random Commen with Id 139
140,31,0,10,7,Some Random Commen with Id 140
141,31,0,185,2,Some Random Commen with Id 141
142,32,2,166,4,Some Random Commen with Id 142
143,32,2,74,2,Some Random Commen with Id 143
144,32,2,43,5,Some Random Commen with Id 144
145,32,2,50,9,Some Random Commen with Id 145
146,32,2,171,1,Some Random Commen with Id 146
147,32,2,47,8,Some Random Commen with Id 147
148,33,6,172,5,Some Random Commen with Id 148
149,33,6,10,3,Some Random Commen with Id 149
150,33,6,133,2,Some Random Commen with Id 150
151,33,6,129,0,Some Random Commen with Id 151
152,33,6,199,4,Some Random Commen with Id 152
153,33,6,27,9,Some Random Commen with Id 153
154,34,0,107,0,Some Random Commen with Id 154
155,34,0,154,2,Some Random Commen with Id 155
156,34,0,119,0,Some Random Commen with Id 156
157,34,0,19,7,Some Random Commen with Id 157
158,34,0,34,7,Some Random Commen with Id 158
159,34,0,143,6,Some Random Commen with Id 159
160,34,0,188,7,Some Random Commen with Id 160
161,35,5,41,2,Some Random Commen with Id 161
162,35,5,153,7,Some Random Commen with Id 162
163,35,5,110,2,Some Random Commen with Id 163
164,35,5,159,9,Some Random Commen with Id 164
165,35,5,23,5,Some Random Commen with Id 165
166,36,4,198,2,Some Random Commen with Id 166
167,36,4,143,5,Some Random Commen with Id 167
168,37,1,52,9,Some Random Commen with Id 168
169,37,1,167,0,Some Random Commen with Id 169
170,37,1,190,0,Some Random Commen with Id 170
171,37,1,154,4,Some Random Commen with Id 171
172,37,1,71,8,Some Random Commen with Id 172
173,37,1,19,4,Some Random Commen with Id 173
174,37,1,191,0,Some Random Commen with Id 174
175,37,1,150,5,Some Random Commen with Id 175
176,37,1,17,4,Some Random Commen with Id 176
177,38,4,13,8,Some Random Commen with Id 177
178,38,4,130,2,Some Random Commen with Id 178
179,38,4,17,1,Some Random Commen with Id 179
180,38,4,18,3,Some Random Commen with Id 180
181,38,4,40,0,Some Random Commen with Id 181
182,39,7,101,0,Some Random Commen with Id 182
183,39,7,135,0,Some Random Commen with Id 183
184,39,7,48,7,Some Random Commen with Id 184
185,39,7,88,8,Some Random Commen with Id 185
186,39,7,6,2,Some Random Commen with Id 186
